element #,waveln. At elem cent.
1,400.3869669
2,401.1610482
3,401.9353249
4,402.7097952
5,403.4844574
6,404.2593097
7,405.0343504
8,405.8095777
9,406.5849898
10,407.360585
11,408.1363614
12,408.9123173
13,409.6884509
14,410.4647605
15,411.2412441
16,412.0179
17,412.7947264
18,413.5717215
19,414.3488835
20,415.1262105
21,415.9037007
22,416.6813523
23,417.4591634
24,418.2371323
25,419.015257
26,419.7935357
27,420.5719666
28,421.3505477
29,422.1292774
30,422.9081535
31,423.6871744
32,424.4663381
33,425.2456428
34,426.0250865
35,426.8046673
36,427.5843834
37,428.3642329
38,429.1442139
39,429.9243244
40,430.7045626
41,431.4849264
42,432.2654141
43,433.0460237
44,433.8267533
45,434.6076008
46,435.3885644
47,436.1696422
48,436.9508322
49,437.7321324
50,438.5135409
51,439.2950557
52,440.0766748
53,440.8583964
54,441.6402184
55,442.4221388
56,443.2041557
57,443.9862671
58,444.7684709
59,445.5507653
60,446.3331481
61,447.1156175
62,447.8981713
63,448.6808076
64,449.4635244
65,450.2463197
66,451.0291913
67,451.8121374
68,452.5951559
69,453.3782447
70,454.1614018
71,454.9446251
72,455.7279127
73,456.5112625
74,457.2946723
75,458.0781403
76,458.8616642
77,459.645242
78,460.4288718
79,461.2125513
80,461.9962785
81,462.7800514
82,463.5638679
83,464.3477258
84,465.131623
85,465.9155576
86,466.6995274
87,467.4835302
88,468.267564
89,469.0516267
90,469.8357161
91,470.6198302
92,471.4039668
93,472.1881238
94,472.9722991
95,473.7564906
96,474.540696
97,475.3249133
98,476.1091404
99,476.893375
100,477.6776151
101,478.4618584
102,479.246103
103,480.0303464
104,480.8145868
105,481.5988217
106,482.3830492
107,483.167267
108,483.9514729
109,484.7356649
110,485.5198406
111,486.3039979
112,487.0881346
113,487.8722486
114,488.6563376
115,489.4403995
116,490.2244321
117,491.008433
118,491.7924003
119,492.5763316
120,493.3602247
121,494.1440774
122,494.9278875
123,495.7116528
124,496.4953711
125,497.2790402
126,498.0626577
127,498.8462215
128,499.6297294
129,500.4131791
130,501.1965684
131,501.979895
132,502.7631567
133,503.5463513
134,504.3294765
135,505.11253
136,505.8955096
137,506.6784131
138,507.4612382
139,508.2439826
140,509.0266441
141,509.8092203
142,510.5917091
143,511.3741082
144,512.1564152
145,512.938628
146,513.7207442
147,514.5027615
148,515.2846778
149,516.0664906
150,516.8481977
151,517.6297969
152,518.4112858
153,519.1926621
154,519.9739236
155,520.7550679
156,521.5360928
157,522.3169959
158,523.097775
159,523.8784277
160,524.6589518
161,525.4393449
162,526.2196047
163,526.9997289
164,527.7797152
165,528.5595613
166,529.3392649
167,530.1188236
168,530.8982351
169,531.6774972
170,532.4566074
171,533.2355635
172,534.0143631
173,534.7930039
174,535.5714836
175,536.3497999
176,537.1279503
177,537.9059327
178,538.6837445
179,539.4613836
180,540.2388476
181,541.016134
182,541.7932407
183,542.5701652
184,543.3469053
185,544.1234585
186,544.8998225
187,545.6759949
188,546.4519735
189,547.2277559
190,548.0033397
191,548.7787226
192,549.5539022
193,550.3288762
194,551.1036422
195,551.8781979
196,552.6525409
197,553.4266688
198,554.2005794
199,554.9742702
200,555.7477389
201,556.5209831
202,557.2940005
203,558.0667887
204,558.8393453
205,559.611668
206,560.3837545
207,561.1556023
208,561.9272092
209,562.6985726
210,563.4696904
211,564.2405601
212,565.0111793
213,565.7815457
214,566.551657
215,567.3215107
216,568.0911045
217,568.860436
218,569.6295029
219,570.3983029
220,571.1668334
221,571.9350922
222,572.703077
223,573.4707852
224,574.2382147
225,575.005363
226,575.7722277
227,576.5388065
228,577.305097
229,578.0710969
230,578.8368037
231,579.6022152
232,580.367329
233,581.1321426
234,581.8966539
235,582.6608602
236,583.4247594
237,584.1883491
238,584.9516268
239,585.7145903
240,586.4772372
241,587.2395651
242,588.0015716
243,588.7632545
244,589.5246113
245,590.2856396
246,591.0463372
247,591.8067017
248,592.5667308
249,593.3264219
250,594.085773
251,594.8447815
252,595.6034451
253,596.3617615
254,597.1197283
255,597.8773432
256,598.6346038
257,599.3915078
258,600.1480529
259,600.9042366
260,601.6600568
261,602.4155109
262,603.1705968
263,603.925312
264,604.6796542
265,605.4336211
266,606.1872104
267,606.9404197
268,607.6932466
269,608.445689
270,609.1977443
271,609.9494104
272,610.7006849
273,611.4515655
274,612.2020498
275,612.9521355
276,613.7018203
277,614.451102
278,615.1999782
279,615.9484465
280,616.6965047
281,617.4441505
282,618.1913815
283,618.9381955
284,619.6845902
285,620.4305632
286,621.1761123
287,621.9212352
288,622.6659296
289,623.4101931
290,624.1540236
291,624.8974187
292,625.6403761
293,626.3828936
294,627.1249689
295,627.8665997
296,628.6077837
297,629.3485187
298,630.0888024
299,630.8286325
300,631.5680069
301,632.3069231
302,633.045379
303,633.7833722
304,634.5209007
305,635.257962
306,635.994554
307,636.7306744
308,637.466321
309,638.2014916
310,638.9361838
311,639.6703955
312,640.4041244
313,641.1373684
314,641.8701252
315,642.6023925
316,643.3341682
317,644.0654501
318,644.7962359
319,645.5265234
320,646.2563105
321,646.9855949
322,647.7143744
323,648.4426469
324,649.1704101
325,649.8976619
326,650.6244001
327,651.3506225
328,652.0763269
329,652.8015112
330,653.5261731
331,654.2503106
332,654.9739215
333,655.6970035
334,656.4195547
335,657.1415727
336,657.8630554
337,658.5840008
338,659.3044067
339,660.0242709
340,660.7435913
341,661.4623658
342,662.1805923
343,662.8982686
344,663.6153926
345,664.3319622
346,665.0479754
347,665.76343
348,666.4783238
349,667.1926549
350,667.9064211
351,668.6196204
352,669.3322506
353,670.0443097
354,670.7557956
355,671.4667062
356,672.1770395
357,672.8867935
358,673.595966
359,674.304555
360,675.0125584
361,675.7199743
362,676.4268006
363,677.1330352
364,677.8386762
365,678.5437215
366,679.248169
367,679.9520168
368,680.6552629
369,681.3579053
370,682.0599419
371,682.7613707
372,683.4621899
373,684.1623973
374,684.861991
375,685.5609691
376,686.2593296
377,686.9570704
378,687.6541897
379,688.3506855
380,689.0465558
381,689.7417987
382,690.4364122
383,691.1303945
384,691.8237436
385,693.1268262
386,693.8183397
387,694.5092125
388,695.1994428
389,695.8890286
390,696.5779681
391,697.2662594
392,697.9539005
393,698.6408896
394,699.3272249
395,700.0129045
396,700.6979265
397,701.382289
398,702.0659903
399,702.7490284
400,703.4314015
401,704.1131079
402,704.7941456
403,705.4745129
404,706.1542079
405,706.8332289
406,707.511574
407,708.1892414
408,708.8662293
409,709.542536
410,710.2181597
411,710.8930986
412,711.5673509
413,712.2409148
414,712.9137887
415,713.5859708
416,714.2574592
417,714.9282524
418,715.5983485
419,716.2677458
420,716.9364426
421,717.6044372
